Date,AAPL,ABNB,ADA-USD,AFRM,AGG,AI,AIG,ALGN,ALL,AMC,AMT,AMZN,ARE,AVB,AXP,BAC,BBBY,BEAM,BFLY,BIDU,BIGC,BIRD,BIV,BK,BKR,BLK,BND,BNDX,BSV,BTC-USD,BXP,C,CAG,CCI,CHD,CL,CME,COIN,COP,COST,CPB,CRSP,CRWD,CVX,DDOG,DGE.L,DIA,DLR,DOCN,DOGE-USD,DVN,EDIT,EFA,EL,ENB,EOG,EQIX,EQR,ESS,ET,ETH-USD,ETSY,FANG,FRT,FSLY,FV=F,FVRR,GIS,GME,GOOGL,GOVT,GOVZ,GS,HAL,HD,HES,HIVE,HRL,HST,HSY,HUDI,HYG,ICE,IEF,IGSB,IJH,IJR,INTC,IQ,ISHG,IVV,IWM,JNJ,JPM,KHC,KMB,KMI,KO,KR,LCID,LOW,LQD,MA,MAA,MARA,MBB,MCD,MDLZ,MET,META,MO,MPC,MS,MSFT,NDAQ,NESN.SW,NET,NKLA,NTLA,NVCR,NVDA,NVTA,O,OXY,PACB,PATH,PEAK,PEP,PG,PLD,PLTR,PM,PNC,PRU,PSX,PXD,PYPL,QQQ,RBLX,RIOT,RIVN,ROKU,SCHW,SDGR,SHOP,SHY,SJM,SLB,SNOW,SOFI,SOL-USD,SPAB,SPCE,SPG,SPSB,SPTL,SPY,SQ,TFC,TIP,TLT,TOST,TROW,TRP,TSLA,TSN,TWLO,U,UB=F,UDR,UNH,UPST,USB,V,VCIT,VCLT,VCSH,VEA,VERV,VGIT,VLO,VMBS,VMEX.MX,VNQ,VOO,VT,VTI,VTR,VWO,W,WBA,WELL,WFC,WMB,WMT,XLE,XLF,XLI,XLK,XLU,XLV,XLY,XOM,YNDX,ZB=F,ZC=F,ZI,ZN=F,ZS
2023-06-01,178.3047332763672,112.16000366210938,0.3647240102291107,14.579999923706055,91.69910430908203,34.720001220703125,51.16753387451172,297.20001220703125,104.34844970703125,45.5,173.42001342773438,122.7699966430664,102.35236358642578,164.98675537109375,158.68832397460938,26.331666946411133,,32.5099983215332,2.380000114440918,130.7899932861328,8.84000015258789,24.0,70.61717224121094,38.860618591308594,27.270395278930664,632.7110595703125,67.99878692626953,44.75697326660156,71.29695892333984,26819.97265625,42.60101318359375,41.56447219848633,31.195112228393555,98.49547576904297,90.65922546386719,71.5379638671875,163.47377014160156,,93.30854797363281,495.2482604980469,47.26324462890625,64.5199966430664,157.5500030517578,139.71768188476562,94.98999786376953,3343.013427734375,319.96435546875,97.0719223022461,39.650001525878906,0.07149200141429901,42.738746643066406,9.550000190734863,66.2962417602539,175.49322509765625,33.18730163574219,100.7765121459961,723.1073608398438,56.84049987792969,203.32276916503906,10.703253746032715,1862.201416015625,81.98999786376953,117.71131134033203,80.5614013671875,16.34000015258789,,26.399999618530273,77.97298431396484,24.100000381469727,122.98242950439453,21.718923568725586,12.039692878723145,300.8680114746094,28.53773307800293,274.3860778808594,125.3271713256836,3.2799999713897705,37.479759216308594,15.061373710632324,245.17892456054688,4.369999885559082,65.8561019897461,103.34950256347656,91.49530029296875,46.4785041809082,46.9399528503418,89.7337646484375,30.508155822753906,4.179999828338623,67.49842834472656,410.6092529296875,170.8332977294922,145.12059020996094,130.98973083496094,34.25829315185547,123.38795471191406,14.540035247802734,56.05885696411133,42.67689895629883,6.5,196.111083984375,98.56099700927734,366.5589599609375,135.4086456298828,9.989999771118164,87.16034698486328,273.2867736816406,69.95032501220703,47.381446838378906,271.12255859375,37.09815216064453,101.50438690185547,76.38740539550781,327.4876403808594,53.241703033447266,101.70121002197266,69.6500015258789,,38.15999984741211,74.9000015258789,39.74142837524414,,52.93132019042969,56.083560943603516,12.859999656677246,17.93000030517578,,170.58045959472656,137.01344299316406,114.24162292480469,14.539999961853027,81.68827056884766,110.31365203857422,72.81791687011719,86.82582092285156,,63.04999923706055,347.1591796875,42.130001068115234,12.40999984741211,14.579999923706055,58.54999923706055,51.161705017089844,35.09000015258789,57.939998626708984,75.73916625976562,134.62159729003906,42.58928680419922,167.27999877929688,6.820000171661377,20.50221824645996,23.660465240478516,75.0,91.43062591552734,26.819395065307617,27.836759567260742,409.36297607421875,,27.735197067260742,102.14390563964844,95.25330352783203,21.579999923706055,97.5756607055664,35.93611145019531,207.52000427246094,47.204383850097656,67.30000305175781,30.1200008392334,137.09375,36.826900482177734,475.0998229980469,29.75,27.66630744934082,223.1366424560547,72.66177368164062,69.85252380371094,70.25546264648438,42.076751708984375,15.40999984741211,55.53216552734375,99.6329574584961,42.69991683959961,,73.69122314453125,376.72760009765625,,203.3501434326172,40.58549118041992,37.02224349975586,43.0099983215332,26.895479202270508,71.19918823242188,37.98640823364258,26.309402465820312,47.95569610595703,71.99640655517578,30.949228286743164,94.77359008789062,163.20579528808594,60.04998779296875,123.99024963378906,150.55418395996094,96.47999572753906,,128.59375,592.5,25.90999984741211,113.921875,135.08999633789062
2023-06-02,179.15625,118.05999755859375,0.37830400466918945,15.699999809265137,91.21553802490234,32.2599983215332,52.557640075683594,302.0,105.18936157226562,45.5,177.2591552734375,124.25,105.08491516113281,169.1980438232422,164.38360595703125,27.21318244934082,,34.029998779296875,2.4000000953674316,133.4499969482422,9.329999923706055,26.0,70.1992416381836,40.26430892944336,28.194976806640625,645.0277099609375,67.61713409423828,44.58317947387695,71.04410552978516,27249.58984375,44.89730453491211,42.93635559082031,31.83859634399414,100.11128997802734,91.69532775878906,72.63634490966797,168.26846313476562,,95.95227813720703,495.2386779785156,48.028411865234375,65.0,151.32000732421875,143.482421875,98.7699966430664,3371.001220703125,326.8578796386719,97.55367279052734,41.439998626708984,0.07261200249195099,44.33756637573242,9.670000076293945,67.1559066772461,180.67481994628906,34.29598617553711,104.28947448730469,727.2830810546875,58.2059211730957,212.02455139160156,10.9411039352417,1907.256591796875,85.01000213623047,120.69773864746094,83.6736831665039,16.489999771118164,,27.149999618530273,78.62361145019531,24.639999389648438,123.92677307128906,21.587522506713867,11.883514404296875,307.7620849609375,30.097797393798828,281.5694580078125,129.81387329101562,3.25,38.011192321777344,15.825679779052734,246.35922241210938,4.619999885559082,66.19337463378906,104.91378021240234,90.76779174804688,46.3583984375,48.521934509277344,93.43016815185547,30.684560775756836,4.449999809265137,67.17713928222656,416.4620056152344,177.0286407470703,147.40248107910156,133.74130249023438,34.54534149169922,125.3779296875,14.978201866149902,57.14266586303711,43.88094711303711,6.599999904632568,201.77552795410156,98.29536437988281,369.3757629394531,138.85562133789062,10.029999732971191,86.6775894165039,276.68438720703125,70.57750701904297,49.81729507446289,271.12255859375,37.7222785949707,104.41902923583984,78.50955200195312,330.26446533203125,54.49946594238281,102.46784973144531,70.63999938964844,,40.959999084472656,79.5199966430664,39.29874801635742,,53.34233093261719,57.598548889160156,13.489999771118164,18.239999771118164,,172.33126831054688,139.4499053955078,116.36549377441406,14.520000457763672,83.15603637695312,113.85136413574219,75.4623794555664,90.53958129882812,,63.959999084472656,349.76275634765625,40.34000015258789,11.710000038146973,14.479999542236328,60.13999938964844,52.782958984375,35.650001525878906,58.290000915527344,75.52571105957031,138.41217041015625,44.28413772583008,175.2100067138672,7.03000020980835,21.25759506225586,23.54920768737793,76.4000015258789,94.18061065673828,26.773897171020508,27.58639907836914,415.2828674316406,,28.738542556762695,101.64337921142578,94.2094955444336,21.06999969482422,99.86243438720703,37.02508544921875,213.97000122070312,47.88526153564453,67.1500015258789,31.0,135.9375,37.80980682373047,480.8263854980469,29.56999969482422,28.772232055664062,225.39263916015625,72.42337799072266,69.62698364257812,70.08883666992188,42.69880676269531,16.270000457763672,55.168373107910156,102.77440643310547,42.4317741394043,,75.48722839355469,382.2584228515625,,206.71258544921875,42.2264404296875,37.60945510864258,43.209999084472656,27.667219161987305,72.2966079711914,39.105323791503906,27.321651458740234,48.414390563964844,74.18767547607422,31.624135971069336,97.52722930908203,164.1400604248047,60.67424774169922,125.58024597167969,154.08740234375,98.72024536132812,,127.6875,609.0,26.450000762939453,113.046875,142.38999938964844
2023-06-03,,,0.37602800130844116,,,,,,,,,,,,,,,,,,,,,,,,,,,27075.12890625,,,,,,,,,,,,,,,,,,,,0.07267100363969803,,,,,,,,,,,1892.4124755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15556526184082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-04,,,0.3776929974555969,,,,,,,,,,,,,,,,,,,,,,,,,,,27119.06640625,,,,,,,,,,,,,,,,,,,,0.0724710002541542,,,,,,,,,,,1890.5135498046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8189754486084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-05,177.79983520507812,115.69000244140625,0.3520149886608124,15.550000190734863,91.20624542236328,35.31999969482422,51.63407516479492,305.1499938964844,104.61600494384766,46.29999923706055,174.93157958984375,125.30000305175781,105.13956451416016,169.4875030517578,163.2816162109375,27.052043914794922,,33.939998626708984,2.2899999618530273,132.27000427246094,8.949999809265137,25.0,70.14349365234375,40.05704879760742,28.280763626098633,639.94775390625,67.62645721435547,44.491695404052734,71.10031127929688,25760.09765625,44.055030822753906,42.862205505371094,31.7388973236084,99.0574951171875,92.51641082763672,72.82736206054688,169.14932250976562,,95.6897964477539,500.70703125,48.11239242553711,63.040000915527344,154.0800018310547,142.79373168945312,100.3499984741211,3330.519287109375,324.9822082519531,97.1089859008789,42.15999984741211,0.06657300144433975,44.19139099121094,9.4399995803833,66.76766967773438,173.76602172851562,34.186031341552734,104.03788757324219,722.9345703125,58.50114822387695,208.93531799316406,10.949597358703613,1811.828369140625,85.25,119.75127410888672,83.08612060546875,16.459999084472656,,27.06999969482422,79.22776794433594,24.309999465942383,125.25877380371094,21.587522506713867,11.83298397064209,306.0124206542969,29.641191482543945,278.8673400878906,127.90071105957031,3.0999999046325684,37.815399169921875,15.654834747314453,245.00897216796875,4.429999828338623,66.14010620117188,105.24412536621094,90.7398452758789,46.349159240722656,47.99848937988281,91.50495147705078,29.263526916503906,4.409999847412109,66.9337387084961,415.74493408203125,174.65554809570312,148.6702117919922,132.4274139404297,34.500022888183594,125.8662109375,14.987147331237793,56.75959396362305,44.100738525390625,6.590000152587891,198.86155700683594,98.0846939086914,366.203125,138.56069946289062,9.1899995803833,86.62188720703125,275.2718505859375,70.59652709960938,49.51634216308594,269.90924072265625,37.14807891845703,104.2081069946289,77.9417724609375,330.7962646484375,54.19954299926758,101.70121002197266,69.91000366210938,,41.27000045776367,82.51000213623047,39.142860412597656,,53.60144805908203,57.3187141418457,13.579999923706055,19.399999618530273,,172.4530029296875,138.8978729248047,116.0953598022461,15.239999771118164,81.58860778808594,113.57496643066406,75.48054504394531,89.5971450805664,,64.51000213623047,350.0093688964844,40.790000915527344,10.680000305175781,14.34000015258789,60.91999816894531,52.82178497314453,38.13999938964844,59.91999816894531,75.54429626464844,138.39358520507812,43.76338195800781,181.75,7.25,20.07505989074707,23.52139663696289,76.0,94.21598052978516,26.782997131347656,27.549304962158203,414.487060546875,,28.4339542388916,101.77555847167969,94.03400421142578,21.959999084472656,99.29524230957031,36.68309020996094,217.61000061035156,47.111106872558594,65.66000366210938,36.31999969482422,135.8125,37.83736801147461,479.4886169433594,28.229999542236328,28.300857543945312,223.4026336669922,72.33169555664062,69.39241790771484,70.05181884765625,42.42955780029297,16.739999771118164,55.177703857421875,101.00615692138672,42.41328430175781,,74.96224975585938,381.5196533203125,,206.16836547851562,41.63905334472656,37.572174072265625,46.25,27.720443725585938,72.61152648925781,38.35621643066406,27.240304946899414,48.73321533203125,73.69556427001953,31.460227966308594,96.85090637207031,163.19595336914062,60.96308517456055,126.03314971923828,154.54867553710938,98.28153228759766,,127.6875,597.5,26.549999237060547,113.109375,148.0500030517578
2023-06-06,177.4335174560547,117.30000305175781,0.3537150025367737,15.819999694824219,91.31783294677734,38.189998626708984,53.25270462036133,304.67999267578125,105.10333251953125,46.400001525878906,175.3673858642578,126.61000061035156,107.68083953857422,170.9441680908203,167.5628204345703,27.70606803894043,,34.33000183105469,2.2100000381469727,137.4499969482422,9.489999771118164,25.299999237060547,70.17134094238281,40.89550018310547,29.157686233520508,647.9224243164062,67.71954345703125,44.57402801513672,71.03472900390625,27238.783203125,46.13854217529297,43.7706184387207,31.10448455810547,99.22434997558594,90.80585479736328,72.1778793334961,167.4058074951172,,95.56791687011719,498.7844543457031,47.20725631713867,64.58000183105469,153.0399932861328,143.0508270263672,101.8499984741211,3349.5107421875,325.0208740234375,97.59071350097656,44.68000030517578,0.07037299871444702,44.721275329589844,10.25,67.3222885131836,176.68312072753906,34.525054931640625,105.1187973022461,712.5189208984375,58.980899810791016,209.36209106445312,10.96658706665039,1884.494873046875,90.05000305175781,120.3393783569336,85.54656219482422,16.690000534057617,,28.489999771118164,77.8707504272461,24.690000534057617,126.55103302001953,21.606292724609375,11.953335762023926,310.7574768066406,29.861112594604492,281.62652587890625,128.4348602294922,3.180000066757202,37.69419860839844,15.834672927856445,241.0526123046875,4.380000114440918,66.2466049194336,105.3607177734375,90.79578399658203,46.339927673339844,48.98141098022461,94.11360931396484,30.341552734375,4.75,66.97269439697266,416.6267395019531,179.25582885742188,148.53872680664062,132.66543579101562,34.25527572631836,124.9449234008789,15.067625999450684,56.34849548339844,44.024288177490234,6.900000095367432,199.2270050048828,98.27703857421875,375.533203125,139.26113891601562,10.079999923706055,86.90040588378906,271.559326171875,69.63673400878906,50.221702575683594,269.6407470703125,37.16472625732422,104.53408813476562,79.91498565673828,328.57086181640625,55.27347183227539,102.05648040771484,68.62000274658203,,43.619998931884766,47.0,38.626224517822266,,53.61931228637695,57.3573112487793,13.619999885559082,19.459999084472656,,169.99058532714844,137.51788330078125,117.21317291259766,15.460000038146973,83.01107788085938,116.43093872070312,76.27116394042969,90.34364318847656,,65.0199966430664,349.9501953125,41.33000183105469,10.899999618530273,14.5,62.97999954223633,53.015953063964844,38.13999938964844,63.65999984741211,75.50717163085938,135.8572540283203,44.69634246826172,182.22000122070312,7.650000095367432,20.398483276367188,23.54920768737793,79.80000305175781,96.53268432617188,26.764795303344727,27.67912483215332,415.3896179199219,,29.607500076293945,101.83223724365234,94.58821868896484,22.25,100.852783203125,37.01608657836914,221.30999755859375,47.04581832885742,68.0199966430664,35.84000015258789,136.15625,38.149696350097656,469.2673034667969,31.079999923706055,29.579021453857422,224.83111572265625,72.37755584716797,69.64502716064453,70.0240707397461,42.80093765258789,17.950000762939453,55.168373107910156,102.77440643310547,42.5797119140625,,75.68062591552734,382.3069763183594,,207.11102294921875,42.26373291015625,37.86111831665039,49.439998626708984,27.96881866455078,75.05449676513672,39.124290466308594,27.430105209350586,48.726707458496094,74.28981018066406,31.855531692504883,97.4595947265625,163.15658569335938,60.91649627685547,124.9827880859375,156.1582489013672,99.08428955078125,,127.71875,608.0,26.760000228881836,113.03125,152.99000549316406
2023-06-07,176.0572967529297,116.55000305175781,0.3222779929637909,16.200000762939453,90.83429718017578,36.41999816894531,54.014404296875,301.7300109863281,107.2342758178711,47.29999923706055,177.0551300048828,121.2300033569336,110.93257904052734,173.78280639648438,167.29953002929688,27.943037033081055,,34.36000061035156,2.240000009536743,132.7899932861328,9.329999923706055,27.0,69.71623992919922,41.17811965942383,29.20534324645996,646.3119506835938,67.33787536621094,44.38193893432617,70.91297149658203,26345.998046875,48.30184555053711,44.50290298461914,30.90509605407715,100.91043853759766,90.42464447021484,71.8244857788086,165.77125549316406,,98.25850677490234,493.9247131347656,42.99882125854492,62.779998779296875,149.22999572753906,146.760498046875,93.58999633789062,3332.0185546875,325.98773193359375,95.99726867675781,42.70000076293945,0.06729999929666519,45.72625732421875,10.520000457763672,66.73020935058594,173.9291534423828,34.72663497924805,108.32427215576172,709.3701782226562,59.783546447753906,214.1118927001953,10.95809268951416,1832.39599609375,87.56999969482422,123.2982177734375,89.23722839355469,16.5,,28.59000015258789,75.75155639648438,26.110000610351562,121.76970672607422,21.50304412841797,11.725497245788574,319.26812744140625,31.12325096130371,287.04974365234375,133.12551879882812,3.069999933242798,37.63825607299805,15.933582305908203,239.07919311523438,4.460000038146973,65.88273620605469,105.24412536621094,90.13360595703125,46.23830795288086,49.735107421875,96.4234848022461,30.655160903930664,4.78000020980835,66.904541015625,415.2551574707031,182.60980224609375,148.8580322265625,133.95077514648438,33.49384689331055,124.37374114990234,15.407429695129395,56.26441192626953,43.44137191772461,6.400000095367432,203.12193298339844,97.39765930175781,367.06304931640625,142.80947875976562,9.550000190734863,86.49191284179688,269.0397644042969,68.60092163085938,51.585391998291016,262.1617431640625,37.5308723449707,109.41419982910156,80.51068115234375,318.4285583496094,55.196067810058594,100.80368041992188,62.779998779296875,,43.459999084472656,48.65999984741211,37.45195007324219,,54.50388717651367,57.93629455566406,13.970000267028809,17.920000076293945,,168.6329803466797,137.81289672851562,119.29046630859375,14.6899995803833,83.58187866210938,117.51802825927734,77.93417358398438,94.29069519042969,,64.04000091552734,344.0130615234375,38.63999938964844,10.430000305175781,13.819999694824219,68.02999877929688,54.00617980957031,36.9900016784668,59.560001373291016,75.45147705078125,137.90118408203125,45.819698333740234,169.07000732421875,7.739999771118164,18.6342830657959,23.419408798217773,83.19999694824219,99.6540756225586,26.728397369384766,27.289669036865234,413.95330810546875,,29.992712020874023,101.36006927490234,93.18418884277344,21.799999237060547,101.78911590576172,37.48406982421875,224.57000732421875,47.87593460083008,64.8499984741211,34.720001220703125,134.46875,38.801902770996094,464.031494140625,28.540000915527344,30.150114059448242,221.9249267578125,71.81822967529297,68.7519302368164,69.88520812988281,42.392425537109375,17.65999984741211,54.92582702636719,106.7717514038086,42.33930969238281,,77.0713882446289,381.0530700683594,,206.702880859375,43.25203323364258,37.777225494384766,49.29999923706055,28.323640823364258,76.74357604980469,39.89236068725586,28.37908363342285,48.79827117919922,76.25823211669922,31.980863571166992,99.02483367919922,160.71762084960938,61.95071792602539,124.49136352539062,155.09829711914062,101.30587768554688,,126.3125,604.25,26.729999542236328,112.53125,144.9199981689453
2023-06-08,178.78001403808594,115.5,0.32315701246261597,18.850000381469727,91.31783294677734,36.220001220703125,53.919193267822266,306.760009765625,106.93803405761719,46.79999923706055,176.21128845214844,124.25,109.79401397705078,174.05360412597656,166.89968872070312,27.70606803894043,,33.45000076293945,2.25,133.39999389648438,9.3100004196167,27.399999618530273,70.08776092529297,41.31001281738281,28.87173080444336,648.5513305664062,67.6729965209961,44.491695404052734,71.0534896850586,26508.216796875,47.76988220214844,44.58633041381836,31.23136329650879,101.48124694824219,91.73442840576172,72.33070373535156,169.4255828857422,,98.0053939819336,502.48480224609375,43.64268112182617,62.59000015258789,151.3000030517578,146.21871948242188,96.0199966430664,3324.521728515625,327.5733947753906,96.82176971435547,42.790000915527344,0.06796599924564362,45.69884490966797,9.600000381469727,67.43619537353516,173.80442810058594,35.019840240478516,108.23109436035156,720.265869140625,60.180267333984375,216.14353942871094,10.949597358703613,1846.3018798828125,87.55999755859375,122.52633666992188,88.23654174804688,16.889999389648438,,27.690000534057617,76.82044982910156,21.440000534057617,121.41185760498047,21.596912384033203,11.897294044494629,319.0018615722656,30.740787506103516,286.4693603515625,133.06724548339844,3.059999942779541,37.88066101074219,16.032493591308594,240.89212036132812,4.460000038146973,66.29988861083984,107.4593734741211,90.7398452758789,46.349159240722656,49.528987884521484,95.81484985351562,31.184371948242188,5.050000190734863,67.4692153930664,417.6560363769531,181.92710876464844,150.49195861816406,133.9888458251953,33.71139907836914,125.21021270751953,15.487906455993652,56.4045524597168,43.72805404663086,6.28000020980835,202.40066528320312,98.04804992675781,363.30731201171875,141.058349609375,9.569999694824219,86.92827606201172,272.7427978515625,69.45618438720703,50.56026840209961,263.13641357421875,37.74724197387695,107.79388427734375,80.33383178710938,320.27978515625,55.79591369628906,100.03704071044922,63.119998931884766,,43.36000061035156,45.5,38.48632049560547,,54.37879943847656,57.791107177734375,13.920000076293945,18.270000457763672,,170.4961700439453,139.37376403808594,116.35618591308594,15.1899995803833,83.50940704345703,118.7156982421875,77.09810638427734,92.5084457397461,,64.23999786376953,348.283447265625,38.869998931884766,10.550000190734863,14.050000190734863,69.0999984741211,53.42368698120117,38.279998779296875,59.279998779296875,75.5721206665039,140.29815673828125,45.172340393066406,174.30999755859375,8.119999885559082,18.909475326538086,23.53993797302246,82.19999694824219,98.62920379638672,26.764795303344727,27.58639907836914,416.4571228027344,,29.69708824157715,101.8605728149414,94.27416229248047,21.93000030517578,102.51836395263672,37.56507110595703,234.86000061035156,47.43756103515625,63.02000045776367,36.279998779296875,135.78125,38.66410827636719,471.827392578125,32.7599983215332,29.968814849853516,219.73788452148438,72.26751708984375,69.3833999633789,70.04255676269531,42.828792572021484,17.59000015258789,55.177703857421875,105.75596618652344,42.5797119140625,,76.59246063232422,383.33734130859375,,207.67466735839844,41.71364212036133,37.98229217529297,52.95000076293945,28.252676010131836,76.15191650390625,40.17683410644531,28.65022087097168,49.50422668457031,75.93327331542969,31.951950073242188,99.19874572753906,162.45835876464844,62.220916748046875,125.2911605834961,157.39486694335938,100.98851776123047,,127.46875,610.25,25.889999389648438,113.03125,148.82000732421875
2023-06-09,179.16615295410156,117.86000061035156,0.295401006937027,17.389999389648438,91.10395812988281,36.9900016784668,54.157230377197266,304.44000244140625,106.98582458496094,47.70000076293945,173.6889190673828,123.43000030517578,109.83954620361328,175.83705139160156,167.46531677246094,27.743982315063477,,32.209999084472656,2.1700000762939453,135.1999969482422,9.279999732971191,25.600000381469727,69.8834228515625,41.856414794921875,28.604841232299805,652.1915893554688,67.53337860107422,44.53742980957031,70.90364837646484,26480.375,47.97380065917969,44.7717170715332,31.158864974975586,100.076171875,91.97879791259766,72.43575286865234,168.8682861328125,,97.3960189819336,499.76995849609375,42.9708251953125,61.2400016784668,149.52999877929688,145.8698272705078,95.62999725341797,3319.0244140625,328.01806640625,96.5809097290039,43.849998474121094,0.0694890022277832,45.561805725097656,9.670000076293945,67.32323455810547,169.39044189453125,34.763282775878906,108.32427215576172,713.92041015625,61.05670928955078,217.3588104248047,10.82217788696289,1840.2252197265625,91.23999786376953,121.55230712890625,88.26409149169922,16.610000610351562,,27.639999389648438,76.49513244628906,22.68000030517578,121.5013198852539,21.55936622619629,11.90648365020752,319.52484130859375,30.92245864868164,282.9109802246094,132.45542907714844,3.0,38.10441589355469,15.942573547363281,241.55308532714844,4.309999942779541,66.317626953125,106.8375473022461,90.41339111328125,46.219825744628906,49.22758865356445,95.0226821899414,30.713960647583008,4.920000076293945,67.45948028564453,418.4919738769531,180.45443725585938,150.25717163085938,134.2554473876953,33.430397033691406,125.0057373046875,15.228584289550781,56.49798583984375,44.11984634399414,6.210000038146973,201.11196899414062,97.79157257080078,364.9183044433594,142.18276977539062,9.380000114440918,86.7240219116211,273.7066955566406,69.3421401977539,50.663726806640625,263.50439453125,37.6307373046875,108.34996795654297,80.24076080322266,321.7863464355469,55.950714111328125,100.18663787841797,63.81999969482422,,43.2400016784668,42.7599983215332,38.746158599853516,,54.42347717285156,57.41364288330078,13.779999732971191,17.170000076293945,,170.73025512695312,139.4879913330078,113.0027084350586,15.020000457763672,83.88993835449219,118.7801742553711,76.83458709716797,92.15387725830078,,63.4900016784668,349.6148986816406,38.689998626708984,10.329999923706055,13.869999885559082,69.4800033569336,53.39456558227539,36.63999938964844,61.36000061035156,75.43292236328125,142.67662048339844,45.248497009277344,170.64999389648438,8.180000305175781,17.37969970703125,23.502851486206055,80.5999984741211,99.51921081542969,26.728397369384766,27.55858039855957,417.204345703125,,29.231252670288086,101.57725524902344,94.14482879638672,21.860000610351562,103.05854034423828,37.28608322143555,244.39999389648438,46.980533599853516,63.88999938964844,36.29999923706055,135.8125,39.086673736572266,475.09014892578125,32.09000015258789,29.787513732910156,220.24029541015625,72.02911376953125,69.37437438964844,69.86670684814453,42.810218811035156,17.190000534057617,55.000457763671875,106.64948272705078,42.542728424072266,,76.1503677368164,383.9788513183594,,207.89817810058594,42.62734603881836,38.08481979370117,52.099998474121094,27.87124252319336,77.39248657226562,39.94925308227539,27.8599853515625,49.80352020263672,75.51543426513672,31.96158790588379,98.93788146972656,163.2647705078125,61.857547760009766,125.67660522460938,158.20948791503906,100.24175262451172,,127.34375,604.25,26.149999618530273,112.65625,150.83999633789062
2023-06-10,,,0.2761940062046051,,,,,,,,,,,,,,,,,,,,,,,,,,,25851.240234375,,,,,,,,,,,,,,,,,,,,0.06185999885201454,,,,,,,,,,,1752.384765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.65610122680664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
