,Ticker,Sharpe,CAGR
0,AAPL,0.02361755292476668,0.0001930151456821516
1,ABNB,0.04825600827387418,0.0007005850786665491
2,ADA-USD,0.03342073431699927,0.000558758429991757
3,AFRM,0.06456269148266235,0.0019059462377213343
4,AGG,0.009586646817094051,2.7387637391074193e-05
5,AI,0.007127124034882684,-0.0004385803021050849
6,AIG,0.12376285590160152,0.0011087480354852186
7,ALGN,-0.004093434484588203,-0.0003947649977149581
8,ALL,0.11083407825782948,0.001241835429718785
9,AMC,-0.052170950262824034,-0.006406018552766901
10,AMT,0.023261627431228924,0.0002204531222806949
11,AMZN,0.07497746647802489,0.0009913879043259577
12,ARE,0.02447929345122927,0.000276478746341402
13,AVB,0.037288876986627376,0.00033700320001961437
14,AXP,0.10453715437379564,0.0011001959789200821
15,BAC,0.09218228813592726,0.0010595261600905292
16,BBBY,,
17,BEAM,-0.004359598075906138,-0.0008494262778049322
18,BFLY,-0.019040520705280298,-0.0023799859350364105
19,BIDU,-0.03137131603600309,-0.000810660996516388
20,BIGC,0.006665657252677723,-0.00019202139149443465
21,BIRD,-0.016305861819500653,-0.0019378856699485691
22,BIV,0.009544783060586443,2.7632939236355014e-05
23,BK,0.11403934500776058,0.0011003269530474036
24,BKR,0.048362044435230546,0.0004983148458694853
25,BLK,0.05056855650606425,0.0004669704085782378
26,BND,0.010972229500629984,3.1588816053362834e-05
27,BNDX,0.0393897523757064,9.48502955611108e-05
28,BSV,0.05742146381001456,8.283002320919053e-05
29,BTC-USD,0.11294514284150363,0.0025246392868170098
30,BXP,0.048857375520321634,0.0008127046613357614
31,C,0.09555831174228754,0.0010158323355164978
32,CAG,-0.018888560307113535,-0.0002588038330575415
33,CCI,8.262441320216651e-05,-8.860234595375882e-05
34,CHD,0.0518299167282971,0.000422026976558465
35,CL,0.09346451516603362,0.0006576895678058747
36,CME,0.05443189493401905,0.0004554041616595672
37,COIN,,
38,COP,0.050656963473124726,0.0005222123437158555
39,COST,0.14696304500101307,0.0013306177678904518
40,CPB,-0.01656323399434745,-0.0002681903489355486
41,CRSP,-0.002570432770827004,-0.0004993768185235226
42,CRWD,0.09896030982255533,0.0018831880057910144
43,CVX,0.03274512902223006,0.00028803684903633275
44,DDOG,0.028251499128402854,0.0004053930632312852
45,DGE.L,-0.05727993447709743,-0.0006552119725868888
46,DIA,0.09439341328280464,0.00048197356750145914
47,DLR,0.07902884223870614,0.0010003431595464463
48,DOCN,0.00928399200422997,-0.00018529063324912443
49,DOGE-USD,0.07153773543097124,0.0021886582640109342
50,DVN,0.02666606148861823,0.0002705263513405054
51,EDIT,-0.025610500887116118,-0.0016595028811033918
52,EFA,0.06923726689403058,0.00042230206564530803
53,EL,-0.0332264726880614,-0.0010226158312967026
54,ENB,0.023775945139943026,0.00017787995372819942
55,EOG,0.04594748871142102,0.0004959904721839603
56,EQIX,0.013408125049316575,9.083328258308043e-05
57,EQR,0.029960411763757144,0.00026466825588356
58,ESS,0.0540729787861324,0.0005757698304493797
59,ET,0.11185768134276824,0.0008403461372106236
60,ETH-USD,0.0816411907195581,0.0019216984445222796
61,ETSY,-0.01668521513497599,-0.0006992906008670419
62,FANG,0.1196928673953034,0.0013546876109491457
63,FRT,0.0504446129967001,0.0005027434975108935
64,FSLY,-0.028326724494520148,-0.002004483538955548
65,FV=F,,
66,FVRR,0.010771354689253134,-0.0001238454758527574
67,GIS,-0.040615976654255426,-0.0004483699693474952
68,GME,0.02753930418386472,-0.00011105711394843176
69,GOOGL,0.06933766978537297,0.0009085446008185727
70,GOVT,-0.0028052101686198024,-1.3526854151679757e-05
71,GOVZ,-0.03040975338730372,-0.0004959135377754498
72,GS,0.1021125513499271,0.0010831049422372896
73,HAL,0.04946510917070481,0.0006013077802642375
74,HD,0.053200983532302674,0.00047928765097249304
75,HES,0.04551009805337016,0.0005172139155145139
76,HIVE,0.005793226510832791,-0.00071991701868801
77,HRL,-0.035240765984048184,-0.0006229029877624637
78,HST,0.032651488525091386,0.00033206155332754506
79,HSY,-0.058903533608127646,-0.000673486840737314
80,HUDI,-0.02520098570517381,-0.0014177142414297794
81,HYG,0.08364094647973842,0.0002585410029642965
82,ICE,0.08152932809621016,0.000668202588686384
83,IEF,-0.014928455318457181,-7.115761379694607e-05
84,IGSB,0.08993187957724955,0.00013554758315792448
85,IJH,0.07836379641158481,0.0006110180577385549
86,IJR,0.05352093448404412,0.00048214192376971887
87,INTC,0.011004240525939402,1.3167226358579143e-05
88,IQ,0.023850923826104927,0.0002793988260751945
89,ISHG,0.011809054289817926,3.485545957926384e-05
90,IVV,0.11271131221277736,0.0006519884868994019
91,IWM,0.05113178749470649,0.00046980795676510034
92,JNJ,-0.0027208943209483007,-5.858385737189664e-05
93,JPM,0.1320509363715182,0.0011299701261975326
94,KHC,-0.003964173258892665,-8.597867478266075e-05
95,KMB,0.014893210765663375,8.99920964896328e-05
96,KMI,0.08163716201371148,0.0006740608499946621
97,KO,0.03516573078681367,0.00021605053652051787
98,KR,0.05264601516925972,0.000501304196444563
99,LCID,-0.0404900187873393,-0.002259732991360064
100,LOW,0.03074091474264294,0.0002789976327683963
101,LQD,0.02219271339012732,9.134150465284208e-05
102,MA,0.06917489790983856,0.0005266123845000248
103,MAA,-0.006541601170241599,-0.00014322114589193635
104,MARA,0.05991474843145582,0.0018318808602248993
105,MBB,0.0038645534561111655,7.394908464464223e-06
106,MCD,-0.024816946722062215,-0.00022894146335672438
107,MDLZ,-0.010384634879837215,-0.00013156780888445851
108,MET,0.10725562548817884,0.0010792370307484145
